Currency,Date,Open,High,Low,Close
="JPY",="04/10/2018",="114.36",="114.55",="113.63",="113.8",
="JPY",="03/10/2018",="113.72",="114.38",="113.52",="114.36",
="JPY",="01/10/2018",="113.98",="114.02",="113.53",="113.72",
="JPY",="28/09/2018",="113.44",="113.71",="113.32",="113.7",
="JPY",="27/09/2018",="112.92",="113.46",="112.56",="113.44",
="JPY",="26/09/2018",="112.92",="113.06",="112.75",="112.92",
="JPY",="25/09/2018",="112.66",="112.98",="112.66",="112.92",
="JPY",="24/09/2018",="112.56",="112.71",="112.29",="112.66",
="JPY",="21/09/2018",="112.49",="112.87",="112.39",="112.59",
="JPY",="20/09/2018",="112.21",="112.58",="112.04",="112.49",
="JPY",="18/09/2018",="111.98",="112.39",="111.67",="112.35",
="JPY",="17/09/2018",="111.99",="112.12",="111.85",="111.98",
="JPY",="14/09/2018",="111.86",="112.17",="111.75",="112.06",
="JPY",="12/09/2018",="111.31",="111.96",="111.12",="111.86",
="JPY",="11/09/2018",="111.13",="111.64",="111.07",="111.62",
="JPY",="10/09/2018",="110.98",="111.19",="110.85",="111.13",
="JPY",="07/09/2018",="110.74",="111.25",="110.38",="110.99",
="JPY",="06/09/2018",="111.49",="111.58",="110.71",="110.74",
="JPY",="05/09/2018",="111.4",="111.76",="111.37",="111.49",
="JPY",="04/09/2018",="111.1",="111.53",="110.9",="111.4",
="JPY",="03/09/2018",="111.05",="111.19",="110.85",="111.1",
="JPY",="31/08/2018",="111.24",="111.27",="110.69",="111.03",
="JPY",="30/08/2018",="111.74",="111.77",="111.13",="111.24",
="JPY",="29/08/2018",="111.08",="111.83",="111.04",="111.74",
="JPY",="28/08/2018",="111.05",="111.36",="110.96",="111.08",
="JPY",="27/08/2018",="111.24",="111.37",="110.94",="111.05",
="JPY",="24/08/2018",="111.26",="111.49",="111.11",="111.24",
="JPY",="23/08/2018",="110.53",="111.29",="110.39",="111.26",
="JPY",="21/08/2018",="110.45",="110.62",="110.03",="110.53",
="JPY",="20/08/2018",="110.52",="110.68",="110.27",="110.31",
="JPY",="16/08/2018",="110.92",="111.05",="110.32",="110.5",
="JPY",="14/08/2018",="111.09",="111.43",="110.43",="110.73",
="JPY",="13/08/2018",="110.73",="110.94",="110.11",="110.71",
="JPY",="10/08/2018",="111",="111.17",="110.51",="110.83",
="JPY",="09/08/2018",="110.97",="111.18",="110.71",="111",
="JPY",="08/08/2018",="111.23",="111.48",="110.84",="110.97",
="JPY",="07/08/2018",="111.42",="111.47",="110.99",="111.23",
="JPY",="06/08/2018",="111.24",="111.53",="111.15",="111.42",
="JPY",="03/08/2018",="111.62",="111.87",="111.1",="111.25",
="JPY",="02/08/2018",="111.68",="111.75",="111.32",="111.62",
="JPY",="01/08/2018",="111.8",="112.15",="111.64",="111.67",
="JPY",="31/07/2018",="110.94",="111.96",="110.75",="111.8",
="JPY",="30/07/2018",="111.03",="111.17",="110.89",="110.94",
="JPY",="27/07/2018",="111.1",="111.25",="110.8",="111.05",
="JPY",="26/07/2018",="110.98",="111.21",="110.59",="111.1",
="JPY",="25/07/2018",="111.28",="111.38",="110.83",="110.98",
="JPY",="24/07/2018",="111.43",="111.54",="110.96",="111.28",
